PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26021847","Simultaneous determination of amino acid and monoamine neurotransmitters in PC12 cells and rats models of Parkinson's disease using a sensitizing derivatization reagent by UHPLC-MS/MS","Zhao XE, Zhu S, Yang H, You J, Song F, Liu Z, Liu S.","J Chromatogr B Analyt Technol Biomed Life Sci. 2015 Jul 15;995-996:15-23. doi: 10.1016/j.jchromb.2015.05.017. Epub 2015 May 15.","Zhao XE","J Chromatogr B Analyt Technol Biomed Life Sci","2015","2015/05/30","","","10.1016/j.jchromb.2015.05.017"
"23202312","Emerging opportunities for serotypes of botulinum neurotoxins","Peng Chen Z, Morris JG Jr, Rodriguez RL, Wagle Shukla A, Tapia-Núñez J, Okun MS.","Toxins (Basel). 2012 Nov 7;4(11):1196-222. doi: 10.3390/toxins4111196.","Peng Chen Z","Toxins (Basel)","2012","2012/12/04","PMC3509704","","10.3390/toxins4111196"
"11835987","The neurobiological basis of spontaneous alternation","Lalonde R.","Neurosci Biobehav Rev. 2002 Jan;26(1):91-104. doi: 10.1016/s0149-7634(01)00041-0.","Lalonde R","Neurosci Biobehav Rev","2002","2002/02/12","","","10.1016/s0149-7634(01)00041-0"
"15016424","Circadian patterns of neurotransmitter related gene expression in motor regions of the rat brain","Weber M, Lauterburg T, Tobler I, Burgunder JM.","Neurosci Lett. 2004 Mar 18;358(1):17-20. doi: 10.1016/j.neulet.2003.12.053.","Weber M","Neurosci Lett","2004","2004/03/16","","","10.1016/j.neulet.2003.12.053"
"2885215","Coexistence of peptides with classical neurotransmitters","Hökfelt T, Millhorn D, Seroogy K, Tsuruo Y, Ceccatelli S, Lindh B, Meister B, Melander T, Schalling M, Bartfai T, et al.","Experientia. 1987 Jul 15;43(7):768-80. doi: 10.1007/BF01945354.","Hökfelt T","Experientia","1987","1987/07/15","","","10.1007/BF01945354"
"6141741","A human colonic tumor cell line that maintains vectorial electrolyte transport","Dharmsathaphorn K, McRoberts JA, Mandel KG, Tisdale LD, Masui H.","Am J Physiol. 1984 Feb;246(2 Pt 1):G204-8. doi: 10.1152/ajpgi.1984.246.2.G204.","Dharmsathaphorn K","Am J Physiol","1984","1984/02/01","","","10.1152/ajpgi.1984.246.2.G204"
"28426993","A new combined method of stable isotope-labeling derivatization-ultrasound-assisted dispersive liquid-liquid microextraction for the determination of neurotransmitters in rat brain microdialysates by ultra high performance liquid chromatography tandem mass spectrometry","Zheng L, Zhao XE, Zhu S, Tao Y, Ji W, Geng Y, Wang X, Chen G, You J.","J Chromatogr B Analyt Technol Biomed Life Sci. 2017 Jun 1;1054:64-72. doi: 10.1016/j.jchromb.2017.03.039. Epub 2017 Apr 10.","Zheng L","J Chromatogr B Analyt Technol Biomed Life Sci","2017","2017/04/21","","","10.1016/j.jchromb.2017.03.039"
"12688226","Evidence for the survival benefit of neurohormonal antagonists in the management of geriatric congestive heart failure","Firdaus M, Bukhari N.","J Okla State Med Assoc. 2003 Mar;96(3):133-9.","Firdaus M","J Okla State Med Assoc","2003","2003/04/12","","",""
"19937905","Reconstruction of aperture functions during full fusion in vesicular exocytosis of neurotransmitters","Amatore C, Oleinick AI, Svir I.","Chemphyschem. 2010 Jan 18;11(1):159-74. doi: 10.1002/cphc.200900647.","Amatore C","Chemphyschem","2010","2009/11/26","","","10.1002/cphc.200900647"
"2874875","The laminar distributions and postnatal development of neurotransmitter and neuromodulator receptors in cat visual cortex","Shaw C, Wilkinson M, Cynader M, Needler MC, Aoki C, Hall SE.","Brain Res Bull. 1986 May;16(5):661-71. doi: 10.1016/0361-9230(86)90137-1.","Shaw C","Brain Res Bull","1986","1986/05/01","","","10.1016/0361-9230(86)90137-1"
"25961546","A Monte Carlo simulation dissecting quantal release at the calyx of Held","Guo J, Sun ZC, Yao PT, Wang HL, Xue L.","Front Biosci (Landmark Ed). 2015 Jun 1;20:1079-91. doi: 10.2741/4360.","Guo J","Front Biosci (Landmark Ed)","2015","2015/05/12","","","10.2741/4360"
"1968243","Possible involvement of Na+,K(+)-ATPase inhibition in neurotransmitter release induced by collidine","Rodríguez de Lores Arnaiz G, Pellegrino de Iraldi A.","Neurosci Lett. 1990 Jan 22;108(3):309-13. doi: 10.1016/0304-3940(90)90659-w.","Rodríguez de Lores Arnaiz G","Neurosci Lett","1990","1990/01/22","","","10.1016/0304-3940(90)90659-w"
"9256614","[The clinical application of bioactive substances]","Mishima H.","Nippon Ganka Gakkai Zasshi. 1997 Jul;101(7):549-50.","Mishima H","Nippon Ganka Gakkai Zasshi","1997","1997/07/01","","",""
"6106146","[Hormones and the psyche]","Pasqualini RQ.","Medicina (B Aires). 1980 Mar-Apr;40(2):212-5.","Pasqualini RQ","Medicina (B Aires)","1980","1980/03/01","","",""
"2894629","Diet and maintenance of mental health in the elderly","Hodkinson HM.","Nutr Rev. 1988 Feb;46(2):79-82. doi: 10.1111/j.1753-4887.1988.tb05390.x.","Hodkinson HM","Nutr Rev","1988","1988/02/01","","","10.1111/j.1753-4887.1988.tb05390.x"
"2879216","[Neurohormonal relations between brain and gastrointestinal tract]","Lenz HJ.","Med Klin (Munich). 1986 Oct 17;81(21):676-80.","Lenz HJ","Med Klin (Munich)","1986","1986/10/17","","",""
"2867568","[Possibilities in the treatment of schizophrenia based on biochemical findings]","Nagashi M.","Seishin Shinkeigaku Zasshi. 1985;87(7):435-43.","Nagashi M","Seishin Shinkeigaku Zasshi","1985","1985/01/01","","",""
"4157024","[Proceedings: Exocytosis of autonomic nervous system transmitter substances]","Nagasawa J, Suzuki T, Suzuki Y.","Nihon Seirigaku Zasshi. 1974 Sep 1;36(8-9):290.","Nagasawa J","Nihon Seirigaku Zasshi","1974","1974/09/01","","",""
"21553183","Enzyme-immobilized CNT network probe for in vivo neurotransmitter detection","Lee GJ, Choi SK, Choi S, Park JH, Park HK.","Methods Mol Biol. 2011;743:65-75. doi: 10.1007/978-1-61779-132-1_6.","Lee GJ","Methods Mol Biol","2011","2011/05/10","","","10.1007/978-1-61779-132-1_6"
"19441733","[Research of interactions in the dopamine-serotonin-somatostatin system promises new outlook in fundamental and practical respects]","Nikolaeva AA, Koroleva SV, Ashmarin IP.","Eksp Klin Farmakol. 2009 Mar-Apr;72(2):60-4.","Nikolaeva AA","Eksp Klin Farmakol","2009","2009/05/16","","",""
"21281779","Regulation of biliary proliferation by neuroendocrine factors: implications for the pathogenesis of cholestatic liver diseases","Munshi MK, Priester S, Gaudio E, Yang F, Alpini G, Mancinelli R, Wise C, Meng F, Franchitto A, Onori P, Glaser SS.","Am J Pathol. 2011 Feb;178(2):472-84. doi: 10.1016/j.ajpath.2010.09.043.","Munshi MK","Am J Pathol","2011","2011/02/02","PMC3069818","","10.1016/j.ajpath.2010.09.043"
"1687967","[Changes in the hormonal-neuromediator indices during lactogenesis in women]","Ragimova ShA, Aliev MG, Guseĭnova LM.","Fiziol Cheloveka. 1991 Nov-Dec;17(6):126-32.","Ragimova ShA","Fiziol Cheloveka","1991","1991/11/01","","",""
"8099975","[Electrical properties and chemosensitivities of neurosecretory cells]","Yamashita H, Nagatomo T.","Nihon Seirigaku Zasshi. 1993;55(3):85-99.","Yamashita H","Nihon Seirigaku Zasshi","1993","1993/01/01","","",""
"8520572","Genetic dissection of the molecular mechanisms of transmitter vesicle release during synaptic transmission","Broadie KS.","J Physiol Paris. 1995;89(2):59-70. doi: 10.1016/0928-4257(96)80552-3.","Broadie KS","J Physiol Paris","1995","1995/01/01","","","10.1016/0928-4257(96)80552-3"
"28535482","Multiple metal exposures and their correlation with monoamine neurotransmitter metabolism in Chinese electroplating workers","Wu LL, Gong W, Shen SP, Wang ZH, Yao JX, Wang J, Yu J, Gao R, Wu G.","Chemosphere. 2017 Sep;182:745-752. doi: 10.1016/j.chemosphere.2017.04.112. Epub 2017 Apr 26.","Wu LL","Chemosphere","2017","2017/05/24","","","10.1016/j.chemosphere.2017.04.112"
"21925193","Neurosteroid modulation of N-methyl-D-aspartate receptors: molecular mechanism and behavioral effects","Korinek M, Kapras V, Vyklicky V, Adamusova E, Borovska J, Vales K, Stuchlik A, Horak M, Chodounska H, Vyklicky L Jr.","Steroids. 2011 Dec 11;76(13):1409-18. doi: 10.1016/j.steroids.2011.09.002. Epub 2011 Sep 7.","Korinek M","Steroids","2011","2011/09/20","","","10.1016/j.steroids.2011.09.002"
"45134","Development and chemical specificity of neurons. Proceedings of the Schatzalp Symposium, September 1978","","Prog Brain Res. 1979;51:1-503.","","Prog Brain Res","1979","1979/01/01","","",""
"37712","Parkinson's disease--II. Aging and neuroendocrine relationships","","Adv Exp Med Biol. 1978;113:iii-xii, 1-270.","","Adv Exp Med Biol","1978","1978/01/01","","",""
"23206675","Neuromodulation: a more comprehensive concept beyond deep brain stimulation","Hamani C, Moro E.","Int Rev Neurobiol. 2012;107:1-3. doi: 10.1016/B978-0-12-404706-8.00001-2.","Hamani C","Int Rev Neurobiol","2012","2012/12/05","","","10.1016/B978-0-12-404706-8.00001-2"
"1679578","[The effect of low-frequency impulse electrotherapy on the function of the neurohumoral systems regulating the arterial pressure in hypertensive patients]","Orekhova EM, Danilova IN, Bobkova AS, Korovkina EG.","Vopr Kurortol Fizioter Lech Fiz Kult. 1991 Mar-Apr;(2):27-30.","Orekhova EM","Vopr Kurortol Fizioter Lech Fiz Kult","1991","1991/03/01","","",""
"1350970","The localization of FMRFamide in the nervous and somatic tissues of Nereis virens and its effects upon the isolated esophagus","Krajniak KG, Greenberg MJ.","Comp Biochem Physiol C Comp Pharmacol Toxicol. 1992;101(1):93-100. doi: 10.1016/0742-8413(92)90205-l.","Krajniak KG","Comp Biochem Physiol C Comp Pharmacol Toxicol","1992","1992/01/01","","","10.1016/0742-8413(92)90205-l"
"2872986","Non-adrenergic neurotransmitters in relation to sympathetic nervous control of the lower urinary tract","Burnstock G.","Clin Sci (Lond). 1986;70 Suppl 14:15s-20s. doi: 10.1042/cs070s015.","Burnstock G","Clin Sci (Lond)","1986","1986/01/01","","","10.1042/cs070s015"
"2857127","Evidence against neurotransmitter mediation of sprouting in granuloprival cerebellar cultures","Seil FJ, Leiman AL.","Exp Neurol. 1985 Feb;87(2):270-7. doi: 10.1016/0014-4886(85)90217-1.","Seil FJ","Exp Neurol","1985","1985/02/01","","","10.1016/0014-4886(85)90217-1"
"6127237","The endocrinology of the menstrual cycle: the interaction of folliculogenesis and neuroendocrine mechanisms","Fritz MA, Speroff L.","Fertil Steril. 1982 Nov;38(5):509-29. doi: 10.1016/s0015-0282(16)46628-8.","Fritz MA","Fertil Steril","1982","1982/11/01","","","10.1016/s0015-0282(16)46628-8"
"9827049","Hormonally-regulated functions in crustaceans as biomarkers of environmental pollution","Fingerman M, Jackson NC, Nagabhushanam R.","Comp Biochem Physiol C Pharmacol Toxicol Endocrinol. 1998 Oct;120(3):343-50. doi: 10.1016/s0742-8413(98)10072-5.","Fingerman M","Comp Biochem Physiol C Pharmacol Toxicol Endocrinol","1998","1998/11/25","","","10.1016/s0742-8413(98)10072-5"
"6149032","Scientific challenges and opportunities related to Alzheimer's disease","Khachaturian ZS.","Clin Pharm. 1984 Sep-Oct;3(5):522-3.","Khachaturian ZS","Clin Pharm","1984","1984/09/01","","",""
"16503616","Fast Hadamard transform capillary electrophoresis for on-line, time-resolved chemical monitoring","Braun KL, Hapuarachchi S, Fernandez FM, Aspinwall CA.","Anal Chem. 2006 Mar 1;78(5):1628-35. doi: 10.1021/ac051710w.","Braun KL","Anal Chem","2006","2006/03/01","","","10.1021/ac051710w"
"30345898","The chronic effect of pulsed 1800 MHz electromagnetic radiation on amino acid neurotransmitters in three different areas of juvenile and young adult rat brain","Ahmed NA, Radwan NM, Aboul Ezz HS, Khadrawy YA, Salama NA.","Toxicol Ind Health. 2018 Dec;34(12):860-872. doi: 10.1177/0748233718798975. Epub 2018 Oct 21.","Ahmed NA","Toxicol Ind Health","2018","2018/10/23","","","10.1177/0748233718798975"
"2568390","Proctolin: a review with emphasis on insects","Orchard I, Belanger JH, Lange AB.","J Neurobiol. 1989 Jul;20(5):470-96. doi: 10.1002/neu.480200515.","Orchard I","J Neurobiol","1989","1989/07/01","","","10.1002/neu.480200515"
"11750928","Depression as a spreading adjustment disorder of monoaminergic neurons: a case for primary implication of the locus coeruleus","Harro J, Oreland L.","Brain Res Brain Res Rev. 2001 Dec;38(1-2):79-128. doi: 10.1016/s0165-0173(01)00082-0.","Harro J","Brain Res Brain Res Rev","2001","2001/12/26","","","10.1016/s0165-0173(01)00082-0"
"1352837","Amino acid neurotransmitters in hypertension","Arnolda L, Minson J, Kapoor V, Pilowsky P, Llewellyn-Smith I, Chalmers J.","Kidney Int Suppl. 1992 Jun;37:S2-7.","Arnolda L","Kidney Int Suppl","1992","1992/06/01","","",""
"7507811","Galanin: a candidate neurotransmitter in the porcine gastrointestinal tract","Harling H.","Dan Med Bull. 1993 Nov;40(5):511-8.","Harling H","Dan Med Bull","1993","1993/11/01","","",""
"1970469","Neurochemical and psychopharmacologic aspects of aggressive behavior","Eichelman BS.","Annu Rev Med. 1990;41:149-58. doi: 10.1146/annurev.me.41.020190.001053.","Eichelman BS","Annu Rev Med","1990","1990/01/01","","","10.1146/annurev.me.41.020190.001053"
"29506600","Secondary Abnormal CSF Neurotransmitter Metabolite Profiles in a Pediatric Tertiary Care Centre","van Karnebeek CDM, Dunbar M, Egri C, Sayson B, Milea J, Stockler-Ipsiroglu S, Huh L, Connolly MB, Horvath GA.","Can J Neurol Sci. 2018 Mar;45(2):206-213. doi: 10.1017/cjn.2017.271.","van Karnebeek CDM","Can J Neurol Sci","2018","2018/03/07","","","10.1017/cjn.2017.271"
"6111757","[Mechanism of action of antiepileptic drugs. Experimental results on the role of neurotransmitters (author's transl)]","Löscher W.","Nervenarzt. 1981 Feb;52(2):61-7.","Löscher W","Nervenarzt","1981","1981/02/01","","",""
"7752677","The immunocytochemical detection of amino-acid neurotransmitters in paraformaldehyde-fixed tissues","Pow DV, Wright LL, Vaney DI.","J Neurosci Methods. 1995 Feb;56(2):115-23. doi: 10.1016/0165-0270(94)00113-u.","Pow DV","J Neurosci Methods","1995","1995/02/01","","","10.1016/0165-0270(94)00113-u"
"12599135","[Exocytosis as the mechanism for neural communication. A view from chromaffin cells]","Camacho M, Montesinos MS, Machado JD, Borges R.","Rev Neurol. 2003 Feb 15-28;36(4):355-60.","Camacho M","Rev Neurol","2003","2003/02/25","","",""
"7711441","Receptors, photoreception and brain perception. New insights","Mansilla AO, Barajas HM, Argüero RS, Alba CC.","Arch Med Res. 1995 Spring;26(1):1-15.","Mansilla AO","Arch Med Res","1995","1995/01/01","","",""
"1360281","Free radicals and neurotransmitters in gerbil brain. Influence of age and ischemia reperfusion insult","Delbarre B, Delbarre G, Calinon F.","EXS. 1992;62:199-212. doi: 10.1007/978-3-0348-7460-1_20.","Delbarre B","EXS","1992","1992/01/01","","","10.1007/978-3-0348-7460-1_20"
"1979294","Receptor-mediated regulation of calcium channels and neurotransmitter release","Miller RJ.","FASEB J. 1990 Dec;4(15):3291-9.","Miller RJ","FASEB J","1990","1990/12/01","","",""
"20441867","Computational investigation and synthesis of a sol-gel imprinted material for sensing application of some biologically active molecules","Atta NF, Hamed MM, Abdel-Mageed AM.","Anal Chim Acta. 2010 May 14;667(1-2):63-70. doi: 10.1016/j.aca.2010.04.005. Epub 2010 Apr 9.","Atta NF","Anal Chim Acta","2010","2010/05/06","","","10.1016/j.aca.2010.04.005"
"27591662","Electrochemical sensors and biosensors for determination of catecholamine neurotransmitters: A review","Ribeiro JA, Fernandes PMV, Pereira CM, Silva F.","Talanta. 2016 Nov 1;160:653-679. doi: 10.1016/j.talanta.2016.06.066. Epub 2016 Jul 1.","Ribeiro JA","Talanta","2016","2016/09/04","","","10.1016/j.talanta.2016.06.066"
"19082168","Carbon-fiber microelectrodes for in vivo applications","Huffman ML, Venton BJ.","Analyst. 2009 Jan;134(1):18-24. doi: 10.1039/b807563h. Epub 2008 Oct 31.","Huffman ML","Analyst","2009","2008/12/17","PMC2684111","NIHMS110526","10.1039/b807563h"
"2882464","[Pathophysiology of the nervous system]","Kryzhanovskiĭ GN.","Patol Fiziol Eksp Ter. 1987 Jan-Feb;(1):3-6.","Kryzhanovskiĭ GN","Patol Fiziol Eksp Ter","1987","1987/01/01","","",""
"6108513","Conflict and commitment in neural development","Robertson M.","Nature. 1980 Dec 11;288(5791):533-5. doi: 10.1038/288533a0.","Robertson M","Nature","1980","1980/12/11","","","10.1038/288533a0"
"2569895","[A mathematical model of the system controlling mediator release from presynaptic endings]","Pokrovskiĭ N.","Biofizika. 1989 May-Jun;34(3):400-4.","Pokrovskiĭ N","Biofizika","1989","1989/05/01","","",""
"2888642","Neurotransmitter amino acids in epilepsy","Meldrum B.","Electroencephalogr Clin Neurophysiol Suppl. 1987;39:191-9.","Meldrum B","Electroencephalogr Clin Neurophysiol Suppl","1987","1987/01/01","","",""
"11058466","Novel neurotransmitters and their neuropsychiatric relevance","Snyder SH, Ferris CD.","Am J Psychiatry. 2000 Nov;157(11):1738-51. doi: 10.1176/appi.ajp.157.11.1738.","Snyder SH","Am J Psychiatry","2000","2000/11/04","","","10.1176/appi.ajp.157.11.1738"
"23341","Is beta-alanine an inhibitory neurotransmitter?","DeFeudis FV, Martin del Rio R.","Gen Pharmacol. 1977;8(3):177-80. doi: 10.1016/0306-3623(77)90046-5.","DeFeudis FV","Gen Pharmacol","1977","1977/01/01","","","10.1016/0306-3623(77)90046-5"
"30844392","The Excitatory, the Inhibitory, and the Modulatory: Mapping Chemical Neurotransmission in the Brain","Boto T, Tomchik SM.","Neuron. 2019 Mar 6;101(5):763-765. doi: 10.1016/j.neuron.2019.02.021.","Boto T","Neuron","2019","2019/03/08","","","10.1016/j.neuron.2019.02.021"
"6107924","Neuroactive peptides","","Proc R Soc Lond B Biol Sci. 1980 Oct 29;210(1178):1-195.","","Proc R Soc Lond B Biol Sci","1980","1980/10/29","","",""
"7878079","Dopamine receptors: molecular biology, biochemistry and behavioural aspects","Jackson DM, Westlind-Danielsson A.","Pharmacol Ther. 1994;64(2):291-370. doi: 10.1016/0163-7258(94)90041-8.","Jackson DM","Pharmacol Ther","1994","1994/01/01","","","10.1016/0163-7258(94)90041-8"
"6135292","[Relevance of the sedative-tranquilizing effect of l-tetrahydropalmatine to brain monoaminergic neurotransmitters]","Jin GZ, Xu J, Zhang FT, Yu LP, Li JH, Wang XL.","Zhongguo Yao Li Xue Bao. 1983 Mar;4(1):4-10.","Jin GZ","Zhongguo Yao Li Xue Bao","1983","1983/03/01","","",""
"28647148","Monolithic capillary column with an integrated electrochemical detector","Komendová M, Metelka R, Urban J.","J Chromatogr A. 2017 Aug 4;1509:171-175. doi: 10.1016/j.chroma.2017.06.057. Epub 2017 Jun 19.","Komendová M","J Chromatogr A","2017","2017/06/26","","","10.1016/j.chroma.2017.06.057"
"6149796","Amines and other transmitter-like compounds in the bovine area postrema","Leslie RA, Osborne NN.","Brain Res Bull. 1984 Sep;13(3):357-62. doi: 10.1016/0361-9230(84)90085-6.","Leslie RA","Brain Res Bull","1984","1984/09/01","","","10.1016/0361-9230(84)90085-6"
"16273023","The interplay of neurotransmitters in Alzheimer's disease","Francis PT.","CNS Spectr. 2005 Nov;10(11 Suppl 18):6-9. doi: 10.1017/s1092852900014164.","Francis PT","CNS Spectr","2005","2005/11/08","","","10.1017/s1092852900014164"
"4385114","[The action of the gangliostimulants on synaptic transmission]","Machova J, Boska D.","Therapie. 1967 Nov-Dec;22(6):1337-42.","Machova J","Therapie","1967","1967/11/01","","",""
"15589345","In vivo voltammetry: from wire to wireless measurements","Crespi F, Dalessandro D, Annovazzi-Lodi V, Heidbreder C, Norgia M.","J Neurosci Methods. 2004 Dec 30;140(1-2):153-61. doi: 10.1016/j.jneumeth.2004.06.018.","Crespi F","J Neurosci Methods","2004","2004/12/14","","","10.1016/j.jneumeth.2004.06.018"
"14581","Interactions of delta9-tetrahydrocannabinol with other drugs","Hollister LE.","Ann N Y Acad Sci. 1976;281:212-8. doi: 10.1111/j.1749-6632.1976.tb27932.x.","Hollister LE","Ann N Y Acad Sci","1976","1976/01/01","","","10.1111/j.1749-6632.1976.tb27932.x"
"18059610","Brain neurotransmitters in fatigue and overtraining","Meeusen R, Watson P, Hasegawa H, Roelands B, Piacentini MF.","Appl Physiol Nutr Metab. 2007 Oct;32(5):857-64. doi: 10.1139/H07-080.","Meeusen R","Appl Physiol Nutr Metab","2007","2007/12/07","","","10.1139/H07-080"
"12120211","Neural hormonal regulation of exocrine pancreatic secretion","Chey WY, Chang T.","Pancreatology. 2001;1(4):320-35. doi: 10.1159/000055831.","Chey WY","Pancreatology","2001","2002/07/18","","","10.1159/000055831"
"2880638","Biochemical evidence for glutamate and/or aspartate as neurotransmitters in fibers from the visual cortex to the lateral posterior thalamic nucleus (pulvinar) in rats","Fosse VM, Fonnum F.","Brain Res. 1987 Jan 6;400(2):219-24. doi: 10.1016/0006-8993(87)90620-2.","Fosse VM","Brain Res","1987","1987/01/06","","","10.1016/0006-8993(87)90620-2"
"2897933","[Neuropharmacology of the autonomic vestibular syndrome]","Shashkov VS, Iasnetsov VV, Drozd IuV, Karsanova SK, Tigranian RA.","Farmakol Toksikol. 1988 Mar-Apr;51(2):30-6.","Shashkov VS","Farmakol Toksikol","1988","1988/03/01","","",""
"6112022","Neurochemistry of man: noninvasive approaches","Agranoff BW.","Biol Psychiatry. 1981 Mar;16(3):211-2.","Agranoff BW","Biol Psychiatry","1981","1981/03/01","","",""
"8532181","Pharmacological modulators of the inositol 1,4,5-trisphosphate receptor","Michelangeli F, Mezna M, Tovey S, Sayers LG.","Neuropharmacology. 1995 Sep;34(9):1111-22. doi: 10.1016/0028-3908(95)00053-9.","Michelangeli F","Neuropharmacology","1995","1995/09/01","","","10.1016/0028-3908(95)00053-9"
"20235267","Highly potent modulation of GABA(A) receptors by valerenic acid derivatives","Kopp S, Baur R, Sigel E, Möhler H, Altmann KH.","ChemMedChem. 2010 May 3;5(5):678-81. doi: 10.1002/cmdc.201000062.","Kopp S","ChemMedChem","2010","2010/03/18","","","10.1002/cmdc.201000062"
"11507604","The best supporting actors","Kast B.","Nature. 2001 Aug 16;412(6848):674-6. doi: 10.1038/35089223.","Kast B","Nature","2001","2001/08/17","","","10.1038/35089223"
"1363094","[Structure of neurohumoral influences on regulated function]","Iakovlev GM, Karlov VA, Babkin PA.","Fiziol Cheloveka. 1992 Nov-Dec;18(6):155-8.","Iakovlev GM","Fiziol Cheloveka","1992","1992/11/01","","",""
"15617674","Mechanisms and perspectives on differentiation of autonomic neurons","Howard MJ.","Dev Biol. 2005 Jan 15;277(2):271-86. doi: 10.1016/j.ydbio.2004.09.034.","Howard MJ","Dev Biol","2005","2004/12/25","","","10.1016/j.ydbio.2004.09.034"
"15675607","New pharmacological treatments for urinary incontinence and overactive bladder","Burgard EC, Fraser MO, Karicheti V, Ricca DJ, Thor KB.","Curr Opin Investig Drugs. 2005 Jan;6(1):81-9.","Burgard EC","Curr Opin Investig Drugs","2005","2005/01/29","","",""
"6117871","Colour changes in cephalopods after neurotransmitter injection into the cephalic aorta","Andrews PL, Messenger JB, Tansey EM.","Proc R Soc Lond B Biol Sci. 1981 Sep 17;213(1190):93-9. doi: 10.1098/rspb.1981.0056.","Andrews PL","Proc R Soc Lond B Biol Sci","1981","1981/09/17","","","10.1098/rspb.1981.0056"
"6137032","Concluding remarks: mechanisms of antidepressants","Davis JM.","Prog Neuropsychopharmacol Biol Psychiatry. 1983;7(2-3):365. doi: 10.1016/0278-5846(83)90124-0.","Davis JM","Prog Neuropsychopharmacol Biol Psychiatry","1983","1983/01/01","","","10.1016/0278-5846(83)90124-0"
"17141520","Endocannabinoids and the control of energy balance","Matias I, Di Marzo V.","Trends Endocrinol Metab. 2007 Jan-Feb;18(1):27-37. doi: 10.1016/j.tem.2006.11.006. Epub 2006 Dec 1.","Matias I","Trends Endocrinol Metab","2007","2006/12/05","","","10.1016/j.tem.2006.11.006"
"19423778","Fluorescent false neurotransmitters visualize dopamine release from individual presynaptic terminals","Gubernator NG, Zhang H, Staal RG, Mosharov EV, Pereira DB, Yue M, Balsanek V, Vadola PA, Mukherjee B, Edwards RH, Sulzer D, Sames D.","Science. 2009 Jun 12;324(5933):1441-4. doi: 10.1126/science.1172278. Epub 2009 May 7.","Gubernator NG","Science","2009","2009/05/09","PMC6696931","NIHMS1036907","10.1126/science.1172278"
"10524264","[Real-time detection of glutamic acid, acetylcholine, and GABA released from cultured neurons using the online enzyme sensor]","Torimitsu K, Niwa O.","Nihon Seirigaku Zasshi. 1999;61(7-8):279-94.","Torimitsu K","Nihon Seirigaku Zasshi","1999","1999/10/19","","",""
"6142429","Analysis of binding surfaces: a methodology appropriate for the investigation of complex receptor mechanisms and multiple neurotransmitter receptors","Rothman RB.","Neuropeptides. 1983 Dec;4(1):41-4. doi: 10.1016/0143-4179(83)90006-9.","Rothman RB","Neuropeptides","1983","1983/12/01","","","10.1016/0143-4179(83)90006-9"
"11450825","Re: Secretin and autism: a two-part clinical investigation","Clark CE.","J Autism Dev Disord. 2001 Apr;31(2):248-9. doi: 10.1023/a:1010767603161.","Clark CE","J Autism Dev Disord","2001","2001/07/14","","","10.1023/a:1010767603161"
"10065878","Glucagon-like peptide-1 (7-36) amide as a novel neuropeptide","Blázquez E, Alvarez E, Navarro M, Roncero I, Rodríguez-Fonseca F, Chowen JA, Zueco JA.","Mol Neurobiol. 1998 Oct;18(2):157-73. doi: 10.1007/BF02914270.","Blázquez E","Mol Neurobiol","1998","1999/03/05","","","10.1007/BF02914270"
"2882852","[Regulatory peptides of the digestive system. Development of findings and new aspects]","Jablonská M.","Cas Lek Cesk. 1987 Mar 6;126(10):294-9.","Jablonská M","Cas Lek Cesk","1987","1987/03/06","","",""
"31419844","G-protein-coupled receptor-based sensors for imaging neurochemicals with high sensitivity and specificity","Jing M, Zhang Y, Wang H, Li Y.","J Neurochem. 2019 Nov;151(3):279-288. doi: 10.1111/jnc.14855. Epub 2019 Oct 13.","Jing M","J Neurochem","2019","2019/08/17","PMC6819231","NIHMS1046664","10.1111/jnc.14855"
"4385411","[Variation in the functional activity of neurohormones in embryos of Paracentrotus lividus during their mitotic cycle]","Buznikov GA, Berdysheva LV.","Dokl Akad Nauk SSSR. 1966 Mar 11;167(2):486-8.","Buznikov GA","Dokl Akad Nauk SSSR","1966","1966/03/11","","",""
"7915014","Long lasting effects of audiogenic seizures on synaptosomal neurotransmitter amino acids in Rb mice","Simler S, Ciesielski L, Clement J, Rastegar A, Mandel P.","Neurochem Res. 1994 May;19(5):555-61. doi: 10.1007/BF00971330.","Simler S","Neurochem Res","1994","1994/05/01","","","10.1007/BF00971330"
"31528965","A low-molecular-weight ditopic MRI probe for ratiometric sensing of zwitterionic amino acid neurotransmitters","Toljić Đ, Angelovski G.","Chem Commun (Camb). 2019 Oct 1;55(79):11924-11927. doi: 10.1039/c9cc06463j.","Toljić Đ","Chem Commun (Camb)","2019","2019/09/19","","","10.1039/c9cc06463j"
"1694327","Messenger molecules in the cerebellum","Ross CA, Bredt D, Snyder SH.","Trends Neurosci. 1990 Jun;13(6):216-22. doi: 10.1016/0166-2236(90)90163-5.","Ross CA","Trends Neurosci","1990","1990/06/01","","","10.1016/0166-2236(90)90163-5"
"2890551","Neurohormonal regulation of gastrointestinal immunity","Bienenstock J, Perdue M, Stanisz A, Stead R.","Gastroenterology. 1987 Dec;93(6):1431-4. doi: 10.1016/0016-5085(87)90277-0.","Bienenstock J","Gastroenterology","1987","1987/12/01","","","10.1016/0016-5085(87)90277-0"
